RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
354,Standort,Münchner Freiheit,88001308,normal,München,Deutschland,11.586111110000000,48.161944440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
388,Standort,Ostbahnhof,88001662,normal,München,Deutschland,11.604444440000000,48.128611110000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
499,Standort,DB_MobilityCenter,88002897,normal,München,Deutschland,,,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1532,Standort,Stiglmaierplatz,88006552,normal,München,Deutschland,11.558888890000000,48.146944440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1559,Standort,DB_MobilityCenter,88006834,normal,München,Deutschland,11.575277780000000,48.160277780000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1589,Standort,LMU Projektstandort 5,88007143,normal,München,Deutschland,11.595277780000000,48.150555560000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1610,Standort,Kurfürstenplatz,88007319,normal,München,Deutschland,11.575277780000000,48.159722220000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1735,Standort,Zülpicher Platz/Friedrichstr.,40027904,normal,Köln,Deutschland,6.939332934200000,50.930237905400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1784,Standort,Mediapark,40028331,normal,Köln,Deutschland,6.942899402100000,50.946266014500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1797,Standort,The Coffee Store,40028454,normal,Köln,Deutschland,6.952250420600000,50.939732973000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1922,Standort,Chlodwigplatz,40029458,normal,Köln,Deutschland,6.959477162300000,50.921020722100000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1955,Standort,WDR,40018687,normal,Köln,Deutschland,6.956113486400000,50.940594393900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2089,Standort,Zülpicher Platz/Friedrichstr.,40019580,normal,Köln,Deutschland,6.940756614800000,50.931067207000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2216,Standort,Hansaring/Krefelder Str.,40020512,normal,Köln,Deutschland,6.951829878600000,50.948777870300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2414,Standort,Eigelstein/Ebertplatz,40022212,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2415,Standort,Eigelstein/Ebertplatz,40022213,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3531,Standort,Stachus,88005015,normal,München,Deutschland,11.565555560000000,48.138888890000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
